order_id,customer_id,product_name,quantity,price,order_date,status,region
ORD001,CUST1001,Laptop,1,1299.99,2024-01-15,completed,US-EAST
ORD002,CUST1002,Wireless Mouse,2,29.99,2024-01-15,completed,US-WEST
ORD003,CUST1003,USB-C Cable,3,15.99,2024-01-15,completed,EU-WEST
ORD004,CUST1004,Monitor 27inch,1,449.99,2024-01-16,pending,US-EAST
ORD005,CUST1005,Keyboard Mechanical,1,159.99,2024-01-16,completed,ASIA-PACIFIC
ORD006,CUST1006,Webcam HD,2,89.99,2024-01-16,completed,US-WEST
ORD007,CUST1007,Laptop Stand,1,49.99,2024-01-17,shipped,EU-WEST
ORD008,CUST1008,External SSD 1TB,1,129.99,2024-01-17,completed,US-EAST
ORD009,CUST1009,Wireless Headphones,1,199.99,2024-01-17,completed,ASIA-PACIFIC
ORD010,CUST1010,HDMI Cable,4,12.99,2024-01-18,completed,US-WEST
ORD011,CUST1011,Desk Lamp LED,1,39.99,2024-01-18,pending,EU-WEST
ORD012,CUST1012,USB Hub 7-Port,2,34.99,2024-01-18,completed,US-EAST
ORD013,CUST1013,Laptop Bag,1,59.99,2024-01-19,shipped,ASIA-PACIFIC
ORD014,CUST1014,Portable Charger,3,45.99,2024-01-19,completed,US-WEST
ORD015,CUST1015,Bluetooth Speaker,1,79.99,2024-01-19,completed,EU-WEST
ORD016,CUST1016,Graphics Tablet,1,299.99,2024-01-20,completed,US-EAST
ORD017,CUST1017,Microphone USB,1,119.99,2024-01-20,pending,ASIA-PACIFIC
ORD018,CUST1018,Ethernet Cable 10ft,5,9.99,2024-01-20,completed,US-WEST
ORD019,CUST1019,Laptop Cooling Pad,1,29.99,2024-01-21,completed,EU-WEST
ORD020,CUST1020,Wireless Keyboard,2,69.99,2024-01-21,shipped,US-EAST
ORD021,CUST1021,Mouse Pad XXL,1,24.99,2024-01-21,completed,ASIA-PACIFIC
ORD022,CUST1022,Docking Station,1,189.99,2024-01-22,completed,US-WEST
ORD023,CUST1023,Screen Protector,3,19.99,2024-01-22,completed,EU-WEST
ORD024,CUST1024,Tablet 10inch,1,349.99,2024-01-22,pending,US-EAST
ORD025,CUST1025,Stylus Pen,2,39.99,2024-01-23,completed,ASIA-PACIFIC
ORD026,CUST1026,Phone Case,4,14.99,2024-01-23,completed,US-WEST
ORD027,CUST1027,Power Strip Surge,1,27.99,2024-01-23,shipped,EU-WEST
ORD028,CUST1028,Cable Organizer,5,8.99,2024-01-24,completed,US-EAST
ORD029,CUST1029,Monitor Arm Mount,1,99.99,2024-01-24,completed,ASIA-PACIFIC
ORD030,CUST1030,Webcam Cover,10,4.99,2024-01-24,completed,US-WEST
